key;author_name;book_ids
1;A. Bartlett Giamatti;10539
2;A. Elizabeth Delany;8109
3;A. Merritt;2792
4;A. Roger Merrill;6228
5;A. Walton Litz;1058
6;A.B. Yehoshua;1631,1703
7;A.D.P. Briggs;4772
8;A.E. Cunningham;6474
9;A.E. van Vogt;2374
10;A.G. Pasquella;10583
11;A.H. Armstrong;5985
12;A.J. Arberry;1993
13;A.J. Ayer;1852,1856
14;A.J. Jacobs;6661
15;A.J. McAllister;9620
16;A.M. Dellamonica;10564
17;A.M. Homes;5800
18;A.N. Roquelaure;4707,4712,4738,4739
19;A.N. Wilson;1001,1614
20;A.R. Braunmuller;1282,1283,1284,1289
21;A.R. Taylor;1895
22;A.S. Byatt;1271,2142,3560,5998,6101,9416
23;A.T. Hatto;1177
24;A.V. Miller;1901
25;Aaron Anderson;10182
26;Aaron Asher;609
27;Aaron Medwin;10442
28;Aaron Rosenberg;9411
29;Aaron Shepard;8545
30;Abbe Wool;5500
31;Abbie Hoffman;10448
32;Abdul Rahman Munif;3723
33;Abdul-Karim Mustapha;6900
34;Abigail Adams;1500
35;Abigail Thomas;1630
36;Abolqasem Ferdowsi;1622
37;Abraham Lincoln;3770,4920,6108,8561
38;Abraham Moore;1183
39;Adam Sexton;7175
41;Adam Gauntlett;9486
42;Adam Ginsberg;398
43;Adam Golaski;10591
44;Adam Gopnik;3218,7477
45;Adam Hargreaves;8204,8205,8206
46;Adam Haslett;8718
47;Adam Hochschild;5761
48;Adam Lesh;7517
49;Adam Long;9292
50;Adam Mansbach;8773
51;Adam Mars-Jones;1001
52;Adam McCauley;6951
53;Adam Phillips;1820
54;Adam Rex;1658
55;Adam Roberts;7451,10564
56;Adam Smith;5436,6193
57;Adam Swift;5770,6902,6904
58;Adam Woog;9319
59;Adam-Troy Castro;10564
60;Adela Pinch;1388
62;Adèle Lang;52
63;Adi Granov;7383
64;Adolfo Bioy Casares;11071
65;Adolfo Pérez Perdomo;3262
66;Adrian Reynolds;4117
67;Adrian Alphona;7367
68;Adrian Esteban;9674
69;Adrián Ferrero;10555
70;Adrian Geoffrey Gilbert;5061
71;Adrian Guelke;6500
72;Adrian Lester;1904
73;Adrian McKinty;6810,6869,7847
74;Adrian Wootton;10299,10300
75;Adrienne Theimer;10425
76;Aeon J. Skoble;7965,7966
77;Aeschylus;1176,1197,1900,1963,1966,1967,1974,3545,4880,7910,7912,8327,8736,9096
79;Agatha Christie;28,29,35,40,48,64,67,68,69,103,2251,2420,2431,3788,3982,3983,4569,4570,4571,4996,5360,5492,5546,5776,7585,9309,9559,9562,9564,9565,9569,9570,9642,9644,9645,9646,9647,9648,9649
80;Agnes D. Kingston;8971
81;Agnolo di Cosimo Bronzino;8241
82;Ai Morinaga;8983
83;Aidan Hartley;10058
84;Aimé Césaire;8063,9314
85;Aimee Bender;3470
86;Aimee Friedman;4144
87;Aine Greaney;6867
88;Akhil Sharma;6713
89;Akihiro Yamada;10157
90;Akira Watanabe;9127,9132,9137,9138,9139,9173,9174,9175,9197,9922,9923,9924,9925
91;Akira Yoshida;9971
92;Al Dempster;6533
93;Al Franken;4240,4754,4766,5343,6663
94;Al Gore;10082
95;Al Ries;433,795,804,4714,8458
96;Al Rio;9520
97;Al Switzler;797
98;Alafair Burke;10628
99;Alain de Botton;2226,3084,3177,6183,7642
100;Alain Defossé;10635
101;Alain Korkos;10192
102;Alak Zenkar;9866
103;Alan Lee;73,2040,5748,5766,11078,11079
104;Alan Aldridge;9638
105;Alan Brennert;2267
106;Alan Cohen;4526
107;Alan Dean Foster;215,1489,2661,2703,2717,2718,2762,2775,2796,2803,2804,2822,2900,2901,2902,4253,4293,4318,4322,5923,6515,6516,6865,7068,10715
108;Alan Durband;1308,1907,1909
109;Alan Ereira;5488
110;Alan Greenspan;4547
111;Alan H. Sommerstein;1196,1235
112;Alan Hausman;4940
