key;title;isbn13;language_code;publication_date;publisher_id;book_ids
1;The World's First Love: Mary  Mother of God;8987059752;en-US;1996-09-01;1010;2778
2;The Illuminati;20049130001;eng;2004-10-04;1967;5049
3;The Servant Leader;23755004321;eng;2003-03-11;1967;4902
4;What Life Was Like in the Jewel in the Crown: British India  AD 1600-1905;34406054602;eng;1999-09-01;1978;8651
5;Cliffs Notes on Aristophanes' Lysistrata  The Birds  The Clouds  The Frogs;49086007763;eng;1983-12-29;416;8904
6;Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II;73999140774;eng;2000-04-01;96;2497,5340,6224,6787,7738,8667
7;William Goldman: Four Screenplays;73999254907;en-US;2000-05-01;95;9057
8;The Season: A Candid Look at Broadway;73999768442;eng;2004-07-01;1136;9057
9;The Beatles Complete - Updated Edition;73999960822;eng;1986-12-01;835;8538
10;Working Effectively with Legacy Code;76092025986;eng;2004-09-01;1591;6043
11;The Complete Anne of Green Gables Boxed Set (Anne of Green Gables  #1-8);76783609419;eng;1998-10-06;1891;5022
12;Plants Bite Back! (DK Readers);635517047547;eng;1999-10-25;567;7328
13;The Book of Awakening: Having the Life You Want by Being Present to the Life You Have;645241001173;eng;2000-05-31;435;5722
14;Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen;694055000612;eng;2001-03-01;1739;3885,5944,8800
15;Prétear  Vol. 3 (Prétear  #3);702727014581;eng;2004-10-12;35;4705,4729
16;The Mystery in the Rocky Mountains;710430023622;eng;2001-04-01;354;1101
17;The Mystery on the Mighty Mississippi;710430023639;eng;2001-04-01;354;1101
18;Programming in C;752063326664;eng;2004-07-08;1749;8204
19;PHP and MySQL Web Development (Developer's Library);752063326725;en-US;2004-10-01;1749;5091,5422
20;Manhunt Official Strategy Guide;752073003227;eng;2003-11-25;313;8631
21;Living La Dolce Vita: Bring the Passion  Laughter  and Serenity of Italy Into Your Daily Life;760789719271;eng;2003-04-01;1859;7092
22;Aliens: Original Sin;761568107371;eng;2005-10-26;490;6110
23;The Zen of CSS Design: Visual Enlightenment for the Web;785342303476;en-US;2005-02-17;1461;1676,6297
24;Algorithms in C  Parts 1-4: Fundamentals  Data Structures  Sorting  Searching;785342314526;en-GB;1997-09-27;34;7558
25;Healing Therapies for Overcoming Insomnia;798499100096;eng;2005-02-23;479;6813,7220
26;The Prophet;9780001000391;eng;2010-01-01;1735;4073,4723,9206
27;Sam And The Firefly (Beginner Books);9780001713192;eng;1985-06-17;425;6582
28;After the Funeral;9780002310192;eng;2001-07-02;882;79
29;Sleeping Murder (Miss Marple  #13);9780002317856;eng;2003-08-04;569;79
32;Rage of Angels;9780006178736;eng;1999-08-03;889;8080
33;The Four Loves;9780006280897;en-US;2002-06-05;891;1020
34;Divine Conspiracy: Rediscovering Our Hidden Life in God;9780006281146;en-US;1998-10-05;730;1566
35;Agatha Christie: An Autobiography;9780006353287;eng;2001-01-02;882;79,7581
